Z13,Z19,MeanZ13,MeanZ19,OuterEdgeLengthZ13,OuterEdgeLengthZ19,SurfaceZ13,SurfaceZ19,VarianceZ13,VarianceZ19,Max_DeviationZ13,Max_DeviationZ19,Min_DeviationZ13,Min_DeviationZ19,Span_DeviationZ13,Span_DeviationZ19,Fi_liZ13,Fi_liZ19,Fi_reZ13,Fi_reZ19,fl_liZ13,fl_liZ19,fl_reZ13,fl_reZ19,fk_liZ13,fk_liZ19,fk_reZ13,fk_reZ19,fi_liZ13,fi_liZ19,fi_reZ13,fi_reZ19
167.0,64.0,2649.643919,1825.510534,0.034321163,9.291760234,4.67e-07,0.000121019,7754473445,2532849139,7.438404071,7.428612546,0.209025315,0.187541058,7.229378756,7.241071488,19.732803,10008.39864,10.710585,10013.04044,4.165633,15.16103,4.228502,14.19613,16.917502,10008.62756,7.701943,10013.1801,16.934567,10008.39864,7.312016,10013.04044
175.0,80.0,2649.649566,1825.520455,0.025699512,9.339213944,3.65e-07,0.000122566,7754473415,2532849103,7.438658235,7.428623464,0.209056393,0.187545592,7.229601843,7.241077873,20.901888,10014.29545,11.731813,10018.3029,5.566955,17.75995,4.370257,16.53564,15.865223,10014.29552,8.160797,10018.5426,16.335895,10014.29545,7.976833,10018.3029
177.0,48.0,2649.643632,1825.51661,0.032713124,9.567445706,4.51e-07,0.000125818,7754473446,2532849117,7.438683774,7.428619396,0.209155598,0.187550713,7.229528176,7.241068683,21.835995,10001.75801,12.895897,10003.87991,6.359693,17.35337,6.249029,17.23273,17.246075,10002.4328,8.16836,10003.98127,17.401159,10001.75801,8.320552,10003.87991
178.0,5.0,2649.657184,1825.484638,0.023862035,8.97685664,3.32e-07,0.000113886,7754473375,2532849234,7.438700367,7.428433626,0.20913944,0.18753828,7.229560928,7.240895346,18.445524,10038.7604,9.593776,10034.72648,3.297174,19.88751,2.707423,18.23102,16.483768,10038.74567,7.790072,10038.86476,16.265942,10038.7604,7.847318,10034.72648
180.0,17.0,2649.651399,1825.507593,0.027329012,9.547083906,3.75e-07,0.000126068,7754473405,2532849150,7.438480272,7.428330544,0.209105205,0.187543999,7.229375067,7.240786545,23.416592,10010.39251,12.718398,10009.3976,4.548916,14.08928,5.428552,10.14942,21.524372,10011.53754,11.205583,10010.02251,21.73415,10010.39251,10.746692,10009.3976
183.0,74.0,2649.646643,1825.512619,0.025301743,9.479686644,3.28e-07,0.000124453,7754473430,2532849132,7.438631487,7.428569786,0.209077196,0.187467956,7.229554291,7.24110183,21.686962,10004.61369,10.776314,10014.13171,5.131251,17.48989,4.135365,14.94377,16.824519,10005.31038,7.002568,10014.63121,16.613833,10004.61369,7.584775,10014.13171
186.0,48.0,2649.639911,1825.512619,0.02828936,9.479686644,3.8e-07,0.000124453,7754473466,2532849132,7.438757493,7.428569786,0.209007572,0.187467956,7.229749921,7.24110183,19.952079,10004.61369,48.361356,10014.13171,4.128156,17.48989,7.223711,14.94377,16.308844,10005.31038,46.010823,10014.63121,16.142754,10004.61369,46.66532,10014.13171
192.0,69.0,2649.649284,1825.502438,0.030884928,9.222660156,4.33e-07,0.000120914,7754473416,2532849169,7.438677541,7.42853733,0.209056155,0.187401571,7.229621386,7.241135759,23.132247,10013.42023,12.23863,10011.52528,6.371745,15.86627,5.370556,14.8834,17.266648,10013.42043,7.514394,10012.51618,17.107577,10013.42023,7.671928,10011.52528
193.0,82.0,2649.647063,1825.514531,0.046753737,9.348702682,6.7e-07,0.0001234,7754473428,2532849125,7.438526406,7.428504773,0.20902043,0.187547436,7.229505976,7.240957337,23.025633,10008.2809,14.523684,10007.52171,6.310542,12.96652,6.546191,11.20482,17.638023,10008.91209,8.615648,10008.77823,17.518914,10008.2809,8.671239,10007.52171
198.0,57.0,2649.645725,1825.494348,0.038155451,9.139763594,5.3e-07,0.000118469,7754473435,2532849198,7.438728272,7.428560667,0.20902091,0.187490547,7.229707362,7.24107012,21.994453,10021.02478,13.021217,10019.14943,5.148186,9.92837,5.776753,10.642,17.55195,10023.69275,7.732294,10021.99668,17.267882,10021.02478,7.884493,10019.14943
201.0,17.0,2649.64581,1825.494633,0.028662061,9.228823526,3.77e-07,0.000119333,7754473435,2532849197,7.438799366,7.428433761,0.209116648,0.187509701,7.229682718,7.24092406,22.771931,10019.00718,11.743572,10016.27148,5.728286,14.56318,4.620929,11.25214,18.173605,10023.54999,7.345278,10018.67197,18.259288,10019.00718,7.753278,10016.27148
